,Product_name,Prices,Description,Reviews
0,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹10,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.4
1,"vivo T1X (Gravity Black, 128 GB)","₹12,999","<li class=""rgWa7D"">4 GB RAM | 128 GB ROM</li>",4.5
2,"vivo T1X (Gravity Black, 64 GB)","₹11,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.5
3,"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)","₹10,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.4
4,"vivo T1X (Space Blue, 64 GB)","₹11,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.5
5,"MOTOROLA e40 (Carbon Gray, 64 GB)","₹8,499","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.2
6,"POCO C55 (Cool Blue, 128 GB)","₹10,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.4
7,"POCO C55 (Forest Green, 128 GB)","₹10,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.4
8,"POCO M4 Pro (Cool Blue, 128 GB)","₹13,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.3
9,"realme C35 (Glowing Black, 128 GB)","₹12,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.3
10,"realme C35 (Glowing Black, 128 GB)","₹11,999","<li class=""rgWa7D"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.4
11,"realme C35 (Glowing Green, 128 GB)","₹11,999","<li class=""rgWa7D"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.4
12,"vivo T1X (Space Blue, 128 GB)","₹12,999","<li class=""rgWa7D"">4 GB RAM | 128 GB ROM</li>",4.5
13,"OPPO A17k (Gold, 64 GB)","₹9,499","<li class=""rgWa7D"">3 GB RAM | 64 GB ROM | Expandable Upto 2 TB</li>",4.5
14,"vivo T1X (Space Blue, 128 GB)","₹14,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM</li>",4.4
15,"OPPO A17 (Lake Blue, 64 GB)","₹12,100","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.4
16,"POCO C55 (Power Black, 128 GB)","₹10,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.4
17,"Infinix Hot 20 5G (Blaster Green, 128 GB)","₹13,499","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.1
18,"REDMI 10 (Caribbean Green, 128 GB)","₹11,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.2
19,"POCO M4 Pro (Cool Blue, 64 GB)","₹12,999","<li class=""rgWa7D"">6 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.3
20,"OPPO A17k (Navy Blue, 64 GB)","₹9,499","<li class=""rgWa7D"">3 GB RAM | 64 GB ROM | Expandable Upto 2 TB</li>",4.5
21,"POCO M4 Pro 5G (Yellow, 128 GB)","₹14,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.3
22,"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)","₹11,999","<li class=""rgWa7D"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.4
23,"POCO M4 Pro 5G (Yellow, 64 GB)","₹12,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.3
24,"realme 9i 5G (Rocking Black, 64 GB)","₹14,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.5
25,"REDMI 10 (Pacific Blue, 128 GB)","₹11,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.2
26,"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)","₹13,999","<li class=""rgWa7D"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.2
27,"OPPO A17 (Sunlight Orange, 64 GB)","₹12,499","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 2 TB</li>",4.4
28,"realme 9i 5G (Metallica Gold, 64 GB)","₹14,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.5
29,"realme C35 (Glowing Green, 128 GB)","₹12,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.3
30,"realme C35 (Glowing Black, 128 GB)","₹12,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.3
31,"POCO M4 5G (Power Black, 64 GB)","₹11,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>",4.2
32,"POCO M4 5G (Cool Blue, 128 GB)","₹13,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 512 GB</li>",4.2
33,"Infinix Hot 20 5G (Space Blue, 128 GB)","₹13,499","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.1
34,"POCO M4 5G (Cool Blue, 64 GB)","₹11,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>",4.2
35,"realme 10 (Clash White, 64 GB)","₹13,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.4
36,"realme 10 (Rush Black, 64 GB)","₹13,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.4
37,"POCO M4 Pro (Power Black, 128 GB)","₹14,999","<li class=""rgWa7D"">8 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.3
38,"POCO M4 Pro (Yellow, 64 GB)","₹12,999","<li class=""rgWa7D"">6 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.3
39,"POCO M4 5G (Power Black, 128 GB)","₹13,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 512 GB</li>",4.2
40,"realme 9i 5G (Soulful Blue, 64 GB)","₹14,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.5
41,"Infinix HOT 20 5G (Space Blue, 64 GB)","₹11,499","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.3
42,"OPPO F19 (Midnight Blue, 128 GB)","₹14,990","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 256 GB</li>",4.3
43,"Infinix Hot 12 Pro (Electric Blue, 128 GB)","₹11,499","<li class=""rgWa7D"">8 GB RAM | 128 GB ROM | Expandable Upto 256 GB</li>",4
44,"OPPO A17 (Lake Blue, 64 GB)","₹13,990","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 2 TB</li>",4.4
45,"Infinix Hot 20 5G (Racing Black, 128 GB)","₹13,499","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.1
46,"vivo Y16 (Drizzling Gold, 32 GB)","₹9,999","<li class=""rgWa7D"">3 GB RAM | 32 GB ROM | Expandable Upto 1 TB</li>",4.3
47,"Infinix Hot 12 Pro (Lightsaber Green, 128 GB)","₹11,499","<li class=""rgWa7D"">8 GB RAM | 128 GB ROM | Expandable Upto 256 GB</li>",4
48,"Infinix Note 12 (Force Black, 64 GB)","₹10,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>",4.2
49,"Infinix Note 12 (Jewel Blue, 64 GB)","₹10,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>",4.2
50,"Infinix HOT 20 5G (Blaster Green, 64 GB)","₹11,499","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.3
51,"vivo Y16 (Steller Black, 64 GB)","₹10,999","<li class=""rgWa7D"">3 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.3
52,"vivo Y16 (Drizzling Gold, 64 GB)","₹12,499","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.3
53,"POCO M4 5G (Yellow, 64 GB)","₹11,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>",4.2
54,"vivo Y21 (Diamond Glow, 64 GB)","₹12,969","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.3
55,"Infinix Note 12 5G (Snowfall, 64 GB)","₹13,999","<li class=""rgWa7D"">6 GB RAM | 64 GB ROM | Expandable Upto 2 TB</li>",4.2
56,"Infinix Note 12 5G (Force Black, 64 GB)","₹13,999","<li class=""rgWa7D"">6 GB RAM | 64 GB ROM | Expandable Upto 2 TB</li>",4.2
57,"POCO M4 5G (Yellow, 128 GB)","₹13,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 512 GB</li>",4.2
58,"SAMSUNG Galaxy M04 (Dark Blue, 64 GB)","₹8,940","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.2
59,"REDMI 10A SPORT (SEA BLUE, 128 GB)","₹10,839","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM</li>",4
60,"POCO M4 Pro (Yellow, 128 GB)","₹13,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.3
61,"SAMSUNG GALAXY M13 (Aqua Green, 64 GB)","₹11,130","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.2
62,"Tecno Pova 3 (Eco Black, 64 GB)","₹10,899","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>",4.3
63,"POCO M5 (Power Black, 128 GB)","₹12,499","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 512 GB</li>",4.3
64,"OPPO F19 (Prism Black, 128 GB)","₹14,990","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 256 GB</li>",4.3
65,"POCO M4 Pro (Cool Blue, 128 GB)","₹14,999","<li class=""rgWa7D"">8 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.3
66,"OPPO A17 (Sunlight Orange, 64 GB)","₹11,980","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 2 TB</li>",4.4
67,"Infinix Note 12 Pro (Tuscany Blue, 256 GB)","₹14,999","<li class=""rgWa7D"">8 GB RAM | 256 GB ROM | Expandable Upto 2 TB</li>",4.2
68,"Infinix Note 12 Pro (Volcanic Grey, 256 GB)","₹14,999","<li class=""rgWa7D"">8 GB RAM | 256 GB ROM | Expandable Upto 2 TB</li>",4.2
69,"POCO M5 (Icy Blue, 128 GB)","₹12,499","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 512 GB</li>",4.3
70,"MOTOROLA g22 (Mint Green, 64 GB)","₹10,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",3.8
71,"REDMI 10 Prime (Phantom Black, 128 GB)","₹13,989","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 512 GB</li>",4.2
72,"Infinix HOT 20 5G (Racing Black, 64 GB)","₹11,499","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.3
73,"IQOO Z6 Lite 5G (Without Charger) (Mystic Night, 64 GB)","₹13,965","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.2
74,"REDMI 10 Power (Sporty Orange, 128 GB)","₹12,214","<li class=""rgWa7D"">8 GB RAM | 128 GB ROM</li>",4.2
75,"REDMI 10 Prime (Astral White, 128 GB)","₹14,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 512 GB</li>",4.2
76,"REDMI 9 Activ (Coral Green, 128 GB)","₹11,499","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 512 GB</li>",4.2
77,"Infinix Note 12 (Jewel Blue, 128 GB)","₹12,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 512 GB</li>",4.2
78,"POCO M5 (Yellow, 128 GB)","₹12,499","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 512 GB</li>",4.3
79,"realme NARZO 50A PRIME (FLASH BLUE, 64 GB)","₹10,676","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",3.9
80,"IQOO Z6 Lite 5G (Without Charger) (Stellar Green, 64 GB)","₹14,180","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.2
81,"realme Narzo 50A Prime (Flash Blue, 128 GB)","₹12,979","<li class=""rgWa7D"">4 GB RAM | 128 GB ROM</li>",3.9
82,"Tecno Pova 3 (Tech Silver, 64 GB)","₹12,990","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>",4.3
83,"realme Narzo 50 (Speed Black, 64 GB)","₹12,390","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 256 GB</li>",4.5
84,"MOTOROLA g52 (Metallic White, 64 GB)","₹10,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.2
85,"POCO M4 Pro (Yellow, 128 GB)","₹14,999","<li class=""rgWa7D"">8 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.3
86,"Tecno Camon 19 (Sea Salt White, 128 GB)","₹13,989","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 512 GB</li>",4.2
87,"SAMSUNG Galaxy M04 (Light Green, 64 GB)","₹8,990","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.2
88,"REDMI Note 11 (Horizon Blue, 64 GB)","₹12,263","<li class=""rgWa7D"">6 GB RAM | 64 GB ROM</li>",4.3
89,"SAMSUNG Galaxy M32 Prime Edition (Light Blue, 64 GB)","₹12,870","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.3
90,"REDMI 10A SPORT (SLATE GREY, 128 GB)","₹10,293","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM</li>",4
91,"REDMI 10A SPORT (SEA BLUE, 128 GB)","₹10,599","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM</li>",4
92,"REDMI Note 11 (Horizon Blue, 128 GB)","₹14,590","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM</li>",4.3
93,"REDMI 10 Prime 2022 (Bifrost Blue, 64 GB)","₹12,450","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.2
